Confirmed,Deaths,Recovered
547.0,17.0,28.0
639.0,18.0,30.0
916.0,26.0,36.0
1399.0,42.0,39.0
2062.0,56.0,49.0
2863.0,82.0,58.0
5494.0,131.0,101.0
6070.0,133.0,120.0
8124.0,171.0,135.0
9783.0,213.0,214.0
11871.0,259.0,275.0
16607.0,361.0,463.0
19693.0,425.0,614.0
23680.0,490.0,843.0
27409.0,562.0,1115.0
30553.0,632.0,1476.0
34075.0,717.0,1998.0
36778.0,804.0,2595.0
39790.0,904.0,3218.0
42306.0,1011.0,3917.0
44327.0,1111.0,4635.0
44699.0,1116.0,5079.0
59832.0,1368.0,6213.0
66292.0,1520.0,7973.0
68347.0,1662.0,9294.0
70446.0,1765.0,10748.0
72364.0,1863.0,12455.0
74139.0,2002.0,14199.0
74546.0,2114.0,15952.0
74999.0,2236.0,18002.0
75472.0,2236.0,18693.0
76922.0,2441.0,22687.0
76938.0,2443.0,23170.0
77152.0,2593.0,24990.0
77660.0,2663.0,27650.0
78065.0,2715.0,30053.0
78498.0,2744.0,32898.0
78824.0,2788.0,36291.0
79251.0,2835.0,39279.0
79826.0,2870.0,42118.0
80026.0,2912.0,44810.0
80151.0,2945.0,47404.0
80271.0,2981.0,49955.0
